C:\nitrologic\romulon>rpc
rpccoms 0.3.2 looking for "USB\VID_2E8A"
 HWND:722580
[RPC] echoing COM6 handle:0x138 path:USB\VID_2E8A&PID_000A&MI_00\8&D547ADD&0&0000
[RPC] ignoring {port:COM1,path:ACPI\PNP0501\0,info:Communications Port (COM1)}
[thread] starting reader for COM6
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266559}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266560}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266561}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266562}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266563}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266564}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266565}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266566}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266567}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266568}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266569}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266570}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266571}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266572}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266573}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266574}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266575}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266576}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266577}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266578}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266579}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266580}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266581}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266582}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266583}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266584}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266585}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266586}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266587}
